,wid,links,county,city,state,population,watertype
9154,NE3121200,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NE3121200&state=NE&source=Surface%20water%20purchased&population=690&sys_num=0,WASHINGTON,NOT REPORTED,NE,690,Surface water purchased
3090,OR4100935,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=OR4100935&state=OR&source=Ground%20water&population=415&sys_num=0,SHERMAN,NOT REPORTED,OR,415,Ground water
44637,NJ1106002,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NJ1106002&state=NJ&source=Ground%20water&population=860&sys_num=0,MERCER,HOPEWELL TWP.1106-,NJ,860,Ground water
35927,ME0095310,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=ME0095310&state=ME&source=Ground%20water&population=240&sys_num=0,HANCOCK,DEER ISLE,ME,240,Ground water
15249,AR0000618,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=AR0000618&state=AR&source=Ground%20water&population=339&sys_num=0,HOWARD,NOT REPORTED,AR,339,Ground water
33673,NY5203356,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NY5203356&state=NY&source=Ground%20water&population=60&sys_num=0,SULLIVAN,THOMPSON (T),NY,60,Ground water
11549,MN1760005,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MN1760005&state=MN&source=Ground%20water&population=92&sys_num=0,SWIFT,HOLLOWAY,MN,92,Ground water
41444,TX2200069,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=TX2200069&state=TX&source=Surface%20water&population=7437&sys_num=0,TARRANT,NOT REPORTED,TX,7437,Surface water
12893,IA0965073,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=IA0965073&state=IA&source=Ground%20water&population=808&sys_num=0,BREMER,READLYN,IA,808,Ground water
25978,GA2170096,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=GA2170096&state=GA&source=Ground%20water&population=62&sys_num=0,NEWTON,NOT REPORTED,GA,62,Ground water
5006,ID5240019,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=ID5240019&state=ID&source=Ground%20water&population=60&sys_num=0,GOODING,NOT REPORTED,ID,60,Ground water
