,wid,links,county,city,state,population,watertype
29808,VA4057650,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=VA4057650&state=VA&source=Ground%20water&population=60&sys_num=0,ESSEX,NOT REPORTED,VA,60,Ground water
29097,VA3175100,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=VA3175100&state=VA&source=Ground%20water&population=1430&sys_num=0,SOUTHAMPTON,NOT REPORTED,VA,1430,Ground water
45055,RI2980433,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=RI2980433&state=RI&source=Surface%20water%20purchased&population=48&sys_num=0,PROVIDENCE,JOHNSTON,RI,48,Surface water purchased
27246,SC4660003,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=SC4660003&state=SC&source=Ground%20water&population=58&sys_num=0,YORK,ROCK HILL,SC,58,Ground water
28838,NC0160379,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NC0160379&state=NC&source=Ground%20water&population=76&sys_num=0,MECKLENBURG,CHARLOTTE,NC,76,Ground water
5634,MT0004382,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MT0004382&state=MT&source=Ground%20water&population=250&sys_num=0,JUDITH BASIN,HOBSON,MT,250,Ground water
7795,NM3516718,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NM3516718&state=NM&source=Ground%20water&population=66&sys_num=0,MORA,WATROUS,NM,66,Ground water
21325,KY0090287,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=KY0090287&state=KY&source=Surface%20water%20purchased&population=1366&sys_num=0,BOURBON,NOT REPORTED,KY,1366,Surface water purchased
2444,OR4100068,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=OR4100068&state=OR&source=Ground%20water&population=350&sys_num=0,MARION,NOT REPORTED,OR,350,Ground water
41847,TX2270352,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=TX2270352&state=TX&source=Ground%20water&population=1086&sys_num=0,TRAVIS,NOT REPORTED,TX,1086,Ground water
36533,MI0002190,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MI0002190&state=MI&source=Ground%20water&population=1738&sys_num=0,OSCEOLA,EVART,MI,1738,Ground water
6050,WY5601592,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=WY5601592&state=WY&source=Ground%20water&population=45&sys_num=0,NATRONA,NOT REPORTED,WY,45,Ground water
15911,LA1103078,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=LA1103078&state=LA&source=Ground%20water&population=140&sys_num=0,ST. TAMMANY PARISH,NOT REPORTED,LA,140,Ground water
32133,PA6430001,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=PA6430001&state=PA&source=Ground%20water&population=70&sys_num=0,MERCER,NOT REPORTED,PA,70,Ground water
28725,NC0118168,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NC0118168&state=NC&source=Ground%20water&population=48&sys_num=0,CATAWBA,SHERRILLS FORD,NC,48,Ground water
10584,OK2004230,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=OK2004230&state=OK&source=Ground%20water&population=1618&sys_num=0,LOGAN,NOT REPORTED,OK,1618,Ground water
26525,GA1450002,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=GA1450002&state=GA&source=Ground%20water&population=585&sys_num=0,HARRIS,SHILOH,GA,585,Ground water
41874,TX1630045,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=TX1630045&state=TX&source=Ground%20water&population=180&sys_num=0,MEDINA,NOT REPORTED,TX,180,Ground water
34321,NY0400870,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NY0400870&state=NY&source=Ground%20water&population=50&sys_num=0,CATTARAUGUS,ALLEGANY (T),NY,50,Ground water
