Geography,Total
"Starke County, Indiana",766
"Steuben County, Indiana",982
"Sullivan County, Indiana",294
"Switzerland County, Indiana",147
"Tippecanoe County, Indiana","12,947"
"Tipton County, Indiana",346
"Union County, Indiana",82
"Vanderburgh County, Indiana","3,873"
"Vermillion County, Indiana",130
"Vigo County, Indiana","2,469"
"Wabash County, Indiana",697
"Warren County, Indiana",70
"Warrick County, Indiana",946
"Washington County, Indiana",304
"Wayne County, Indiana","1,804"
"Wells County, Indiana",564
"White County, Indiana","1,746"
"Whitley County, Indiana",515
"Adair County, Iowa",101
"Adams County, Iowa",37
"Allamakee County, Iowa",757
"Appanoose County, Iowa",181
"Audubon County, Iowa",37
"Benton County, Iowa",275
"Black Hawk County, Iowa","4,907"
"Boone County, Iowa",505
"Bremer County, Iowa",239
"Buchanan County, Iowa",243
"Buena Vista County, Iowa","4,608"
"Butler County, Iowa",133
"Calhoun County, Iowa",90
"Carroll County, Iowa",333
"Cass County, Iowa",253
"Cedar County, Iowa",284
"Cerro Gordo County, Iowa","1,694"
"Cherokee County, Iowa",274
"Chickasaw County, Iowa",269
"Clarke County, Iowa",927
"Clay County, Iowa",477
"Clayton County, Iowa",306
"Clinton County, Iowa","1,243"
"Crawford County, Iowa","4,131"
"Dallas County, Iowa","4,059"
"Davis County, Iowa",85
"Decatur County, Iowa",181
"Delaware County, Iowa",139
"Des Moines County, Iowa","1,042"
"Dickinson County, Iowa",178
"Dubuque County, Iowa","1,807"
"Emmet County, Iowa",763
"Fayette County, Iowa",380
"Floyd County, Iowa",331
"Franklin County, Iowa","1,209"
"Fremont County, Iowa",187
"Greene County, Iowa",171
"Grundy County, Iowa",122
"Guthrie County, Iowa",202
"Hamilton County, Iowa",782
"Hancock County, Iowa",398
"Hardin County, Iowa",651
"Harrison County, Iowa",183
"Henry County, Iowa",764
"Howard County, Iowa",118
"Humboldt County, Iowa",357
"Ida County, Iowa",100
"Iowa County, Iowa",307
"Jackson County, Iowa",220
"Jasper County, Iowa",537
"Jefferson County, Iowa",410
"Johnson County, Iowa","6,200"
"Jones County, Iowa",270
"Keokuk County, Iowa",90
"Kossuth County, Iowa",215
"Lee County, Iowa","1,092"
"Linn County, Iowa","5,534"
"Louisa County, Iowa","1,797"
"Lucas County, Iowa",89
"Lyon County, Iowa",212
"Madison County, Iowa",197
"Mahaska County, Iowa",360
"Marion County, Iowa",531
"Marshall County, Iowa","7,017"
"Mills County, Iowa",359
"Mitchell County, Iowa",110
"Monona County, Iowa",107
"Monroe County, Iowa",169
"Montgomery County, Iowa",305
"Muscatine County, Iowa","6,803"
"O'Brien County, Iowa",545
"Osceola County, Iowa",430
"Page County, Iowa",438
"Palo Alto County, Iowa",152
"Plymouth County, Iowa",742
"Pocahontas County, Iowa",166
"Polk County, Iowa","32,647"
"Pottawattamie County, Iowa","6,151"
"Poweshiek County, Iowa",456
"Ringgold County, Iowa",91
"Sac County, Iowa",195
"Scott County, Iowa","9,197"
"Shelby County, Iowa",219
"Sioux County, Iowa","3,001"
"Story County, Iowa","2,695"
"Tama County, Iowa","1,320"
"Taylor County, Iowa",364
"Union County, Iowa",225
"Van Buren County, Iowa",88
"Wapello County, Iowa","3,234"
"Warren County, Iowa",899
"Washington County, Iowa","1,138"
"Wayne County, Iowa",69
"Webster County, Iowa","1,446"
"Winnebago County, Iowa",360
"Winneshiek County, Iowa",418
"Woodbury County, Iowa","13,993"
"Worth County, Iowa",147
"Wright County, Iowa","1,274"
"Allen County, Kansas",392
"Anderson County, Kansas",123
"Atchison County, Kansas",383
"Barber County, Kansas",119
"Barton County, Kansas","3,683"
"Bourbon County, Kansas",309
"Brown County, Kansas",306
"Butler County, Kansas","2,602"
