,,,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more"
"Plymouth County, Iowa",,"9,899",396,369,547,439,426,656,471,476,540,849,"1,215","1,559",760,527,451,218
"Pocahontas County, Iowa",,"3,222",242,232,240,221,157,137,186,180,128,325,373,402,182,79,70,68
"Polk County, Iowa",,"174,759","9,984","6,817","7,203","7,963","8,578","8,214","8,523","8,490","6,535","15,277","19,522","24,699","16,407","9,630","9,293","7,624"
"Pottawattamie County, Iowa",,"36,615","2,150","2,158","1,833","1,983","1,922","2,168","1,846","2,014","1,558","2,911","4,451","5,239","2,666","1,563","1,134","1,019"
"Poweshiek County, Iowa",,"7,424",473,399,375,419,394,429,326,370,395,683,952,887,588,307,209,218
"Ringgold County, Iowa",,"2,078",118,119,178,159,158,80,91,148,125,194,228,181,106,65,59,69
"Sac County, Iowa",,"4,413",217,232,317,218,264,238,228,284,284,481,509,453,312,159,109,108
"Scott County, Iowa",,"67,325","4,173","3,424","3,244","3,521","3,949","3,658","3,279","3,305","2,803","5,661","6,610","8,857","5,867","3,328","3,133","2,513"
"Shelby County, Iowa",,"5,171",351,340,291,298,340,203,260,289,235,459,576,691,393,195,126,124
"Sioux County, Iowa",,"11,782",450,457,506,592,521,593,669,442,533,"1,206","1,637","1,927",924,492,420,413
"Story County, Iowa",,"35,666","3,754","2,102","2,063","1,777","1,694","1,584","1,446","1,632","1,435","2,788","3,805","4,457","2,823","1,712","1,425","1,169"
"Tama County, Iowa",,"6,815",361,283,328,433,385,326,277,292,381,787,893,806,534,399,178,152
"Taylor County, Iowa",,"2,752",207,184,166,179,188,138,156,160,140,350,287,282,163,95,28,29
"Union County, Iowa",,"5,293",288,377,380,439,294,349,250,318,288,505,551,596,289,117,161,91
"Van Buren County, Iowa",,"2,986",198,153,150,130,251,155,256,198,164,276,281,420,190,53,77,34
"Wapello County, Iowa",,"14,608","1,227","1,180","1,135",999,"1,005",769,661,"1,007",535,"1,321","1,505","1,676",793,365,217,213
"Warren County, Iowa",,"17,584",599,498,729,725,598,914,978,738,789,"1,520","1,936","2,782","2,148","1,277",931,422
"Washington County, Iowa",,"9,056",350,338,386,530,502,429,643,430,489,862,"1,021","1,436",856,416,239,129
"Wayne County, Iowa",,"2,548",219,160,163,206,137,135,189,146,104,216,243,300,157,87,45,41
"Webster County, Iowa",,"15,397","1,290","1,282",978,"1,067",986,838,825,885,665,"1,430","1,488","1,574","1,009",446,329,305
"Winnebago County, Iowa",,"4,584",271,198,389,250,301,235,238,269,173,488,535,648,276,139,128,46
"Winneshiek County, Iowa",,"8,141",323,410,443,417,474,540,352,343,411,859,954,"1,281",593,239,364,138
"Woodbury County, Iowa",,"38,818","2,886","2,391","2,214","2,507","2,563","2,474","1,985","1,965","1,803","3,330","4,420","4,815","2,539","1,157","1,071",698
"Worth County, Iowa",,"3,194",243,178,178,88,223,234,126,184,144,325,391,473,191,79,81,56
"Wright County, Iowa",,"5,419",426,342,350,348,355,362,299,295,228,369,527,609,444,179,153,133
"Allen County, Kansas",,"5,398",470,459,356,433,485,280,300,260,280,482,584,530,313,77,73,16
"Anderson County, Kansas",,"3,314",227,254,314,261,246,172,161,154,127,233,479,310,206,27,128,15
"Atchison County, Kansas",,"6,180",492,346,601,344,305,234,353,445,347,609,570,640,443,222,139,90
"Barber County, Kansas",,"2,146",126,150,105,108,161,141,94,106,130,238,206,247,139,74,46,75
"Barton County, Kansas",,"11,480",806,845,675,781,631,817,745,585,511,894,"1,353","1,264",781,388,212,192
"Bourbon County, Kansas",,"5,702",589,535,314,433,328,429,252,254,295,443,581,591,350,108,130,70
"Brown County, Kansas",,"4,157",340,362,319,280,240,281,193,249,197,447,352,458,189,127,38,85
"Butler County, Kansas",,"24,062",910,"1,005",933,"1,506","1,234","1,112","1,320","1,009","1,007","2,387","2,457","3,747","2,213","1,219","1,203",800
"Chase County, Kansas",,"1,139",48,83,123,112,96,56,69,72,30,76,79,166,73,18,22,16
"Chautauqua County, Kansas",,"1,584",133,96,94,165,107,125,80,120,59,195,128,121,53,60,17,31
"Cherokee County, Kansas",,"8,132",577,614,589,442,649,454,638,399,461,682,"1,026",893,454,120,77,57
"Cheyenne County, Kansas",,"1,294",74,85,84,125,100,95,90,71,55,114,116,119,123,12,24,7
"Clark County, Kansas",,958,61,71,43,56,47,77,70,61,68,80,73,134,52,28,15,22
"Clay County, Kansas",,"3,398",147,280,172,99,173,265,215,190,114,394,384,409,288,124,51,93
"Cloud County, Kansas",,"3,972",235,314,321,266,269,346,257,283,230,353,405,375,157,103,35,23
"Coffey County, Kansas",,"3,578",139,221,210,176,191,203,116,199,177,266,459,454,323,168,177,99
"Comanche County, Kansas",,757,39,32,50,82,60,42,51,26,40,59,112,97,28,32,3,4
"Cowley County, Kansas",,"13,783","1,168",864,801,"1,122",864,742,818,958,584,"1,141","1,420","1,355",881,418,391,256
"Crawford County, Kansas",,"15,364","1,617","1,221","1,007","1,321","1,277",959,722,700,648,"1,285","1,448","1,554",638,380,351,236
"Decatur County, Kansas",,"1,442",86,133,200,92,93,71,59,129,64,124,127,106,66,25,16,51
"Dickinson County, Kansas",,"7,838",390,499,447,427,452,454,532,364,342,729,838,"1,138",634,239,123,230
"Doniphan County, Kansas",,"3,138",182,130,240,179,165,207,176,185,149,294,410,328,251,134,70,38
"Douglas County, Kansas",,"43,834","3,643","2,625","2,512","2,485","2,536","2,242","1,852","1,928","1,739","4,113","4,443","4,903","3,506","1,903","1,923","1,481"
"Edwards County, Kansas",,"1,287",101,36,58,71,71,103,65,99,84,156,165,88,82,48,37,23
"Elk County, Kansas",,"1,276",80,110,118,94,65,125,62,92,35,164,139,86,77,12,15,2
"Ellis County, Kansas",,"11,859","1,034",721,816,777,740,732,531,562,497,936,"1,339","1,429",722,418,356,249
"Ellsworth County, Kansas",,"2,549",154,148,153,229,119,204,131,127,98,272,300,325,152,30,45,62
"Finney County, Kansas",,"12,670",577,363,602,703,"1,102",844,870,671,871,"1,113","1,390","1,536",756,597,305,370
"Ford County, Kansas",,"11,086",570,639,476,577,857,575,434,817,348,"1,049","1,552","1,534",743,376,221,318
"Franklin County, Kansas",,"9,933",577,520,474,561,613,510,408,663,586,979,"1,281","1,284",707,260,380,130
"Geary County, Kansas",,"12,782",936,342,532,394,848,"1,011","1,119","1,050","1,104","1,124","1,259","1,550",789,325,239,160
"Gove County, Kansas",,"1,212",46,70,51,93,83,76,80,61,66,154,112,152,72,44,22,30
"Graham County, Kansas",,"1,158",84,71,73,97,81,66,59,47,48,129,96,122,57,48,40,40
"Grant County, Kansas",,"2,776",151,79,162,42,151,169,243,173,132,269,319,333,231,16,196,110
"Gray County, Kansas",,"2,125",77,82,74,73,89,124,118,99,118,237,302,289,211,97,72,63
"Greeley County, Kansas",,471,14,38,12,20,37,50,6,25,29,46,52,66,32,16,22,6
"Greenwood County, Kansas",,"2,860",209,231,264,210,191,171,184,158,123,255,306,255,156,78,27,42
"Hamilton County, Kansas",,"1,008",64,69,65,31,86,117,48,33,53,84,73,128,83,40,11,23
"Harper County, Kansas",,"2,567",181,274,136,123,165,210,170,82,112,220,252,364,123,31,49,75
"Harvey County, Kansas",,"13,329",933,724,553,937,681,871,567,801,668,963,"1,597","1,753","1,193",630,272,186
"Haskell County, Kansas",,"1,421",54,44,43,73,69,85,74,92,97,114,158,260,110,48,47,53
"Hodgeman County, Kansas",,814,24,21,40,48,37,68,44,59,50,67,77,146,46,25,28,34
"Jackson County, Kansas",,"5,288",238,275,283,225,218,447,215,245,250,536,687,832,501,143,91,102
"Jefferson County, Kansas",,"7,498",260,352,399,391,333,360,348,372,307,848,862,"1,333",656,385,215,77
"Jewell County, Kansas",,"1,438",106,121,98,118,63,121,72,127,72,123,127,153,77,18,26,16
"Johnson County, Kansas",,"217,826","7,157","5,642","6,759","8,191","8,134","8,361","7,924","9,165","8,264","16,202","23,088","31,338","24,005","16,614","18,259","18,723"
"Kearny County, Kansas",,"1,341",47,84,27,78,71,65,68,79,99,102,190,193,108,45,43,42
"Kingman County, Kansas",,"3,084",84,234,160,179,191,251,127,139,177,242,428,492,179,85,73,43
"Kiowa County, Kansas",,"1,051",102,110,67,48,37,88,58,61,57,63,117,134,60,15,16,18
"Labette County, Kansas",,"8,495",660,526,797,557,455,585,496,544,545,679,886,947,444,186,113,75
"Lane County, Kansas",,811,47,60,60,41,38,24,25,59,14,89,145,85,47,33,18,26
"Leavenworth County, Kansas",,"26,398","1,360","1,272","1,158","1,006","1,257","1,120","1,011","1,052","1,056","1,825","3,313","3,836","3,171","1,643","1,476",842
"Lincoln County, Kansas",,"1,397",103,108,81,87,117,72,82,60,50,153,171,150,85,14,48,16
"Linn County, Kansas",,"4,140",354,283,298,189,220,267,222,164,217,446,412,504,225,196,72,71
"Logan County, Kansas",,"1,228",101,65,72,67,87,73,26,89,68,108,145,157,48,29,53,40
"Lyon County, Kansas",,"13,069","1,548",701,974,829,837,719,862,822,730,"1,007","1,152","1,454",694,284,288,168
"McPherson County, Kansas",,"11,726",404,422,614,499,699,716,683,723,471,"1,051","1,381","1,674","1,026",622,442,299
"Marion County, Kansas",,"4,845",320,253,305,345,315,311,257,261,227,482,577,612,286,150,94,50
"Marshall County, Kansas",,"4,289",267,318,336,311,224,247,182,286,216,335,499,470,289,141,61,107
"Meade County, Kansas",,"1,761",40,115,90,128,54,75,138,109,79,270,202,264,92,48,45,12
"Miami County, Kansas",,"12,350",654,559,449,412,661,559,655,482,593,"1,096","1,310","1,573","1,565",659,729,394
"Mitchell County, Kansas",,"2,795",127,218,149,235,222,171,73,143,163,273,275,380,102,99,59,106
"Montgomery County, Kansas",,"13,706","1,289","1,243",969,706,973,814,749,755,676,"1,240","1,473","1,440",739,324,149,167
"Morris County, Kansas",,"2,437",102,132,154,196,167,146,104,116,174,246,269,319,186,49,56,21
"Morton County, Kansas",,"1,199",77,44,72,93,40,73,61,127,60,145,125,111,103,12,37,19
"Nemaha County, Kansas",,"4,161",246,237,252,203,341,227,257,225,188,340,460,536,290,183,93,83
"Neosho County, Kansas",,"6,503",562,390,485,550,337,240,315,381,411,672,485,863,469,150,90,103
"Ness County, Kansas",,"1,403",54,96,81,65,90,92,100,88,64,115,155,169,74,57,58,45
"Norton County, Kansas",,"2,212",12,220,152,148,161,254,101,46,111,194,231,324,143,23,51,41
"Osage County, Kansas",,"6,544",425,392,342,386,489,288,329,320,326,555,823,926,412,257,180,94
"Osborne County, Kansas",,"1,767",108,168,150,102,160,126,90,99,97,141,115,186,84,42,43,56
"Ottawa County, Kansas",,"2,479",120,92,121,78,154,117,167,137,99,151,407,394,215,116,42,69
"Pawnee County, Kansas",,"2,525",83,114,134,268,174,300,174,129,61,187,292,288,174,51,38,58
"Phillips County, Kansas",,"2,414",174,87,171,127,174,209,97,198,91,208,321,249,155,71,39,43
"Pottawatomie County, Kansas",,"8,109",495,249,363,356,326,482,299,376,344,730,"1,181","1,174",703,536,305,190
"Pratt County, Kansas",,"4,071",302,190,225,275,268,186,212,217,173,383,621,326,311,170,113,99
"Rawlins County, Kansas",,"1,211",43,61,101,98,67,118,64,72,47,116,117,131,85,31,44,16
"Reno County, Kansas",,"25,335","1,563","1,748","1,406","1,583","1,395","1,889","1,455","1,727","1,206","2,319","3,052","2,976","1,439",610,506,461
"Republic County, Kansas",,"2,258",139,176,177,164,116,192,145,172,94,171,215,241,119,50,61,26
"Rice County, Kansas",,"3,837",258,283,188,261,241,220,232,170,184,392,327,499,363,105,84,30
"Riley County, Kansas",,"26,162","3,206","1,100","1,348","1,357","1,957","1,526","1,488","1,249","1,423","1,869","2,544","2,914","1,586",948,851,796
"Rooks County, Kansas",,"2,310",159,144,188,163,127,133,130,138,150,235,222,276,130,51,24,40
"Rush County, Kansas",,"1,535",96,106,112,139,95,106,95,99,87,133,139,148,103,24,40,13
"Russell County, Kansas",,"3,317",198,400,249,200,197,260,130,203,150,342,384,290,164,46,43,61
"Saline County, Kansas",,"22,497","1,054","1,695","1,338","1,656","1,258","1,402","1,111","1,196","1,244","2,181","2,232","2,942","1,457",640,476,615
"Scott County, Kansas",,"2,157",80,28,115,78,34,321,192,154,92,171,136,403,130,162,38,23
"Sedgwick County, Kansas",,"192,303","13,643","9,668","11,538","9,989","11,348","10,665","10,516","9,879","8,291","16,806","20,395","23,715","15,344","8,277","6,351","5,878"
"Seward County, Kansas",,"7,442",476,333,290,447,291,593,469,427,475,672,838,"1,118",524,184,152,153
"Shawnee County, Kansas",,"72,069","5,147","3,912","4,171","3,502","4,700","4,091","4,050","3,181","3,504","6,261","7,737","8,648","5,656","3,141","2,610","1,758"
"Sheridan County, Kansas",,"1,130",40,58,70,127,32,83,41,61,74,108,120,164,95,17,16,24
"Sherman County, Kansas",,"2,738",177,242,202,252,169,158,222,105,168,399,181,280,112,34,6,31
"Smith County, Kansas",,"1,690",167,129,125,93,117,92,102,66,81,133,218,153,88,48,28,50
"Stafford County, Kansas",,"1,877",125,86,104,105,159,140,138,92,114,163,201,211,138,44,14,43
"Stanton County, Kansas",,833,42,35,22,95,64,53,48,91,22,66,83,81,58,61,4,8
"Stevens County, Kansas",,"1,939",99,172,78,85,54,86,84,86,55,202,312,271,123,99,60,73
"Sumner County, Kansas",,"9,053",644,437,471,596,487,542,521,380,411,853,"1,037","1,323",615,426,186,124
"Thomas County, Kansas",,"3,167",248,184,171,279,100,157,155,166,217,199,392,262,270,79,82,206
"Trego County, Kansas",,"1,250",77,46,52,56,118,55,59,99,48,239,74,147,111,24,29,16
"Wabaunsee County, Kansas",,"2,701",94,90,140,86,175,184,180,156,112,277,368,465,133,129,79,33
"Wallace County, Kansas",,614,52,24,57,32,30,41,18,34,25,46,70,65,40,26,26,28
"Washington County, Kansas",,"2,458",199,149,167,151,118,167,174,161,117,262,243,262,185,43,38,22
"Wichita County, Kansas",,867,12,45,51,53,31,64,70,44,24,74,95,186,52,19,27,20
"Wilson County, Kansas",,"3,836",218,356,341,270,213,293,285,190,222,420,385,344,125,50,91,33
"Woodson County, Kansas",,"1,499",97,137,156,132,113,75,92,55,83,135,201,101,50,10,34,28
"Wyandotte County, Kansas",,"58,057","6,521","4,105","3,705","3,982","4,023","3,705","3,414","3,121","2,735","5,131","5,591","5,975","3,053","1,458","1,068",470
"Adair County, Kentucky",,"7,124",906,646,659,545,478,369,343,266,380,609,652,620,366,133,89,63
"Allen County, Kentucky",,"8,057",936,656,645,300,523,481,467,369,429,745,800,934,435,153,96,88
"Anderson County, Kentucky",,"8,353",584,354,334,370,479,574,412,514,305,690,"1,105","1,386",695,325,161,65
"Ballard County, Kentucky",,"3,279",244,218,244,222,258,231,124,193,142,310,235,374,160,159,88,77
"Barren County, Kentucky",,"16,789","1,874","1,589","1,265","1,212",901,800,"1,009",827,772,"1,268","1,650","1,907",948,391,181,195
"Bath County, Kentucky",,"4,361",696,416,331,274,327,248,372,284,207,297,325,312,147,47,36,42
"Bell County, Kentucky",,"11,181","2,298","1,282","1,104",910,663,737,622,640,347,742,504,798,278,125,59,72
"Boone County, Kentucky",,"43,903","1,445","1,318","1,922","2,180","1,428","1,418","1,827","2,171","1,802","4,067","5,049","7,101","4,761","2,802","2,652","1,960"
"Bourbon County, Kentucky",,"7,782",719,635,488,510,495,376,459,338,392,622,651,"1,002",511,160,260,164
"Boyd County, Kentucky",,"19,533","2,005","1,549","1,304","1,180","1,161","1,119","1,093",867,956,"1,601","1,790","2,038","1,264",714,404,488
"Boyle County, Kentucky",,"10,981","1,016",713,892,805,564,812,593,575,527,955,808,"1,373",616,232,214,286
"Bracken County, Kentucky",,"3,303",274,214,291,207,243,240,178,104,98,290,247,434,205,170,62,46
"Breathitt County, Kentucky",,"5,434",902,592,630,460,475,255,257,187,127,450,415,343,199,43,76,23
"Breckinridge County, Kentucky",,"7,325",672,569,494,478,563,428,455,351,352,783,799,739,327,204,72,39
"Bullitt County, Kentucky",,"28,282","1,239","1,110","1,319","1,699","1,298","1,511","1,535","1,694","1,247","2,427","3,602","4,620","2,525","1,503",641,312
"Butler County, Kentucky",,"5,107",817,479,410,216,283,376,317,227,224,364,543,468,179,64,120,20
"Caldwell County, Kentucky",,"5,320",642,365,356,308,383,297,305,288,193,520,531,483,353,128,101,67
"Calloway County, Kentucky",,"14,854","2,089","1,268",918,879,800,867,874,567,673,"1,166","1,441","1,532",882,443,246,209
"Campbell County, Kentucky",,"35,478","2,520","1,875","1,669","2,121","1,587","1,903","1,585","1,638","1,521","3,090","3,675","4,518","3,171","1,772","1,774","1,059"
"Carlisle County, Kentucky",,"2,075",139,139,153,171,138,117,219,79,58,166,218,224,162,38,47,7
"Carroll County, Kentucky",,"4,108",330,401,341,336,272,214,175,235,200,354,451,275,171,150,194,9
"Carter County, Kentucky",,"10,525",989,823,782,843,771,743,641,489,504,"1,005",953,864,676,146,208,88
"Casey County, Kentucky",,"6,186",832,780,635,465,375,494,261,308,364,386,463,426,254,74,43,26
"Christian County, Kentucky",,"25,734","2,622","1,404","1,776","2,092","2,227","1,610","1,545","1,567","1,068","2,479","2,258","2,224","1,350",624,455,433
"Clark County, Kentucky",,"14,368","1,104",907,760,"1,033",965,963,637,618,645,"1,174","1,245","1,677","1,183",740,475,242
"Clay County, Kentucky",,"7,652","1,686",917,884,546,353,476,348,266,279,379,580,517,311,34,36,40
"Clinton County, Kentucky",,"3,878",475,437,439,386,387,274,201,145,91,337,211,222,100,46,32,95
"Crittenden County, Kentucky",,"3,812",452,346,246,323,354,258,108,142,87,349,303,452,187,81,76,48
"Cumberland County, Kentucky",,"2,684",385,332,235,155,196,220,201,139,87,147,345,100,46,29,30,37
"Daviess County, Kentucky",,"38,000","2,821","2,552","2,705","2,301","2,210","2,261","2,031","1,787","1,716","3,295","4,262","4,556","2,513","1,398",734,858
"Edmonson County, Kentucky",,"4,734",526,361,292,389,227,213,259,282,246,394,470,476,408,39,92,60
"Elliott County, Kentucky",,"2,790",621,224,200,253,171,263,111,102,60,237,179,217,79,42,15,16
"Estill County, Kentucky",,"5,706",938,458,556,477,430,266,368,339,200,309,642,382,163,66,101,11
"Fayette County, Kentucky",,"124,101","11,714","7,463","7,242","7,169","6,120","7,004","5,920","5,603","5,324","8,356","12,538","13,836","8,965","5,867","5,458","5,522"
"Fleming County, Kentucky",,"5,542",588,620,424,442,457,368,234,204,191,473,346,672,313,55,19,136
"Floyd County, Kentucky",,"15,438","2,399","1,643","1,358","1,066","1,214","1,021",606,618,497,"1,122","1,123","1,168",786,367,307,143
"Franklin County, Kentucky",,"21,065","1,774","1,051","1,357",962,"1,057","1,297","1,375","1,346",902,"1,572","2,063","2,420","1,768",981,738,402
"Fulton County, Kentucky",,"2,662",436,286,213,241,84,126,137,119,144,95,317,211,106,101,41,5
"Gallatin County, Kentucky",,"3,024",203,141,189,221,172,200,66,239,107,408,265,440,194,115,29,35
"Garrard County, Kentucky",,"6,567",587,386,366,622,291,391,380,324,254,465,712,945,391,270,114,69
"Grant County, Kentucky",,"8,301",690,499,424,515,292,393,571,630,466,718,726,"1,223",510,345,245,54
"Graves County, Kentucky",,"14,284","1,390","1,118","1,176","1,005",708,966,860,595,869,"1,019","1,275","1,517",845,314,280,347
"Grayson County, Kentucky",,"9,839","1,089",865,811,852,769,691,538,528,392,814,874,666,447,275,107,121
