,,Total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Two or More Races
"Chittenden County, Vermont",,"156,545","145,417","3,383",433,"4,465",55,"2,792"
"Essex County, Vermont",,"6,306","6,150",18,37,22,0,79
"Franklin County, Vermont",,"47,746","45,794",226,507,234,14,971
"Grand Isle County, Vermont",,"6,970","6,663",27,70,21,4,185
"Lamoille County, Vermont",,"24,475","23,754",150,99,131,5,336
"Orange County, Vermont",,"28,936","28,171",111,86,140,5,423
"Orleans County, Vermont",,"27,231","26,409",168,126,96,9,423
"Rutland County, Vermont",,"61,642","59,991",343,159,376,10,763
"Washington County, Vermont",,"59,534","57,393",464,163,511,12,991
"Windham County, Vermont",,"44,513","42,635",441,120,475,24,818
"Windsor County, Vermont",,"56,670","54,720",340,164,534,14,898
"Accomack County, Virginia",,"33,164","22,886","9,369",196,188,53,472
"Albemarle County, Virginia",,"98,970","81,907","9,768",380,"4,673",72,"2,170"
"Alleghany County, Virginia",,"16,250","15,198",766,29,37,12,208
"Amelia County, Virginia",,"12,690","9,477","2,943",78,28,6,158
"Amherst County, Virginia",,"32,353","25,074","6,173",302,157,7,640
"Appomattox County, Virginia",,"14,973","11,644","3,017",39,35,4,234
"Arlington County, Virginia",,"207,627","160,911","18,332","1,772","20,354",242,"6,016"
"Augusta County, Virginia",,"73,750","69,395","2,965",170,392,25,803
"Bath County, Virginia",,"4,731","4,450",232,6,8,0,35
"Bedford County, Virginia",,"68,676","63,054","3,964",192,721,16,729
"Bland County, Virginia",,"6,824","6,528",228,1,18,1,48
"Botetourt County, Virginia",,"33,148","31,530","1,013",89,180,6,330
"Brunswick County, Virginia",,"17,434","7,157","10,021",46,49,8,153
"Buchanan County, Virginia",,"24,098","23,293",620,25,53,2,105
"Buckingham County, Virginia",,"17,146","10,743","6,030",55,64,4,250
"Campbell County, Virginia",,"54,842","45,464","7,804",150,565,20,839
"Caroline County, Virginia",,"28,545","18,933","8,410",218,190,22,772
"Carroll County, Virginia",,"30,042","29,552",181,86,54,13,156
"Charles City County, Virginia",,"7,256","2,994","3,532",519,25,5,181
"Charlotte County, Virginia",,"12,586","8,563","3,771",39,26,0,187
"Chesterfield County, Virginia",,"316,236","225,402","70,836","1,858","10,555",308,"7,277"
"Clarke County, Virginia",,"14,034","12,824",747,43,144,7,269
"Craig County, Virginia",,"5,190","5,129",5,12,8,0,36
"Culpeper County, Virginia",,"46,689","36,939","7,559",306,677,69,"1,139"
"Cumberland County, Virginia",,"10,052","6,496","3,301",40,35,0,180
"Dickenson County, Virginia",,"15,903","15,734",51,29,21,0,68
"Dinwiddie County, Virginia",,"28,001","18,127","9,275",107,122,10,360
"Essex County, Virginia",,"11,151","6,473","4,256",82,86,24,230
"Fairfax County, Virginia",,"1,081,726","743,410","103,150","6,888","192,719","1,299","34,260"
"Fauquier County, Virginia",,"65,203","57,209","5,391",288,855,59,"1,401"
"Floyd County, Virginia",,"15,279","14,766",290,20,35,1,167
"Fluvanna County, Virginia",,"25,691","21,014","3,967",55,153,12,490
"Franklin County, Virginia",,"56,159","50,344","4,665",261,255,26,608
"Frederick County, Virginia",,"78,305","72,293","3,296",339,979,51,"1,347"
"Giles County, Virginia",,"17,286","16,788",263,27,58,0,150
"Gloucester County, Virginia",,"36,858","32,403","3,234",156,289,15,761
"Goochland County, Virginia",,"21,717","16,979","4,195",60,232,4,247
"Grayson County, Virginia",,"15,533","15,031",328,31,20,4,119
"Greene County, Virginia",,"18,403","16,512","1,192",48,268,7,376
"Greensville County, Virginia",,"12,243","4,756","7,338",29,36,1,83
"Halifax County, Virginia",,"36,241","22,273","13,354",104,139,6,365
"Hanover County, Virginia",,"99,863","87,275","9,385",411,"1,386",50,"1,356"
"Henrico County, Virginia",,"306,935","187,282","91,868","1,184","20,434",161,"6,006"
"Henry County, Virginia",,"54,151","40,987","11,940",164,240,13,807
"Highland County, Virginia",,"2,321","2,301",7,5,4,0,4
"Isle of Wight County, Virginia",,"35,270","25,493","8,759",139,283,15,581
"James City County, Virginia",,"67,009","54,734","8,941",207,"1,541",55,"1,531"
"King and Queen County, Virginia",,"6,945","4,711","1,976",121,17,0,120
"King George County, Virginia",,"23,584","18,265","4,268",131,278,13,629
"King William County, Virginia",,"15,935","12,378","2,837",235,124,4,357
"Lancaster County, Virginia",,"11,391","8,011","3,190",22,65,0,103
"Lee County, Virginia",,"25,587","24,248",975,107,58,9,190
"Loudoun County, Virginia",,"312,311","229,909","23,573","1,444","47,013",305,"10,067"
"Louisa County, Virginia",,"33,153","26,245","5,898",126,160,16,708
"Lunenburg County, Virginia",,"12,914","8,094","4,538",46,25,17,194
"Madison County, Virginia",,"13,308","11,608","1,310",30,74,4,282
"Mathews County, Virginia",,"8,978","7,934",824,22,31,5,162
"Mecklenburg County, Virginia",,"32,727","19,871","12,108",77,223,15,433
"Middlesex County, Virginia",,"10,959","8,744","1,980",36,37,5,157
"Montgomery County, Virginia",,"94,392","83,389","3,768",235,"5,178",41,"1,781"
"Nelson County, Virginia",,"15,020","12,667","1,989",58,70,5,231
"New Kent County, Virginia",,"18,429","15,155","2,507",198,162,3,404
"Northampton County, Virginia",,"12,389","7,554","4,543",28,83,23,158
"Northumberland County, Virginia",,"12,330","8,986","3,137",21,37,11,138
"Nottoway County, Virginia",,"15,853","9,230","6,298",96,50,14,165
"Orange County, Virginia",,"33,481","28,035","4,322",101,250,28,745
"Page County, Virginia",,"24,042","23,204",480,46,81,7,224
"Patrick County, Virginia",,"18,490","17,094","1,094",72,48,6,176
"Pittsylvania County, Virginia",,"63,506","48,429","14,064",153,189,18,653
"Powhatan County, Virginia",,"28,046","23,672","3,847",77,133,10,307
"Prince Edward County, Virginia",,"23,368","14,932","7,784",77,209,17,349
"Prince George County, Virginia",,"35,725","22,307","11,652",215,565,113,873
"Prince William County, Virginia",,"402,002","265,085","84,466","4,662","31,127",764,"15,898"
"Pulaski County, Virginia",,"34,872","32,382","1,764",64,181,7,474
"Rappahannock County, Virginia",,"7,373","6,876",327,18,39,3,110
"Richmond County, Virginia",,"9,254","6,236","2,810",36,40,2,130
"Roanoke County, Virginia",,"92,376","83,673","4,702",147,"2,517",30,"1,307"
"Rockbridge County, Virginia",,"22,307","21,192",601,109,105,3,297
"Rockingham County, Virginia",,"76,314","73,122","1,346",441,475,24,906
"Russell County, Virginia",,"28,897","28,381",236,59,57,1,163
"Scott County, Virginia",,"23,177","22,804",136,52,36,15,134
"Shenandoah County, Virginia",,"41,993","40,232",789,159,230,15,568
"Smyth County, Virginia",,"32,208","31,128",663,45,83,6,283
"Southampton County, Virginia",,"18,570","11,272","6,941",70,46,6,235
"Spotsylvania County, Virginia",,"122,397","96,129","19,188",506,"2,920",166,"3,488"
"Stafford County, Virginia",,"128,961","97,365","22,537",709,"3,776",194,"4,380"
"Surry County, Virginia",,"7,058","3,636","3,269",26,24,2,101
"Sussex County, Virginia",,"12,087","4,861","7,052",38,48,0,88
"Tazewell County, Virginia",,"45,078","42,974","1,344",57,294,6,403
"Warren County, Virginia",,"37,575","34,542","1,754",145,376,15,743
"Washington County, Virginia",,"54,876","53,511",700,105,204,16,340
"Westmoreland County, Virginia",,"17,454","11,935","4,921",111,102,6,379
"Wise County, Virginia",,"41,452","38,743","2,154",54,143,2,356
"Wythe County, Virginia",,"29,235","27,897",835,42,130,5,326
"York County, Virginia",,"65,464","50,858","8,899",275,"3,313",101,"2,018"
"Alexandria city, Virginia",,"139,966","94,608","31,404","1,074","8,706",196,"3,978"
"Bristol city, Virginia",,"17,835","16,302","1,019",63,124,4,323
"Buena Vista city, Virginia",,"6,650","6,079",349,75,29,15,103
"Charlottesville city, Virginia",,"43,475","30,759","8,495",146,"2,809",21,"1,245"
"Chesapeake city, Virginia",,"222,209","141,323","66,955","1,014","6,534",205,"6,178"
"Colonial Heights city, Virginia",,"17,411","14,576","1,812",70,591,18,344
"Covington city, Virginia",,"5,961","5,048",753,18,34,0,108
"Danville city, Virginia",,"43,055","21,147","20,862",118,423,11,494
"Emporia city, Virginia",,"5,927","2,040","3,746",24,46,4,67
"Fairfax city, Virginia",,"22,565","17,072","1,103",177,"3,480",27,706
"Falls Church city, Virginia",,"12,332","10,118",541,43,"1,176",4,450
"Franklin city, Virginia",,"8,582","3,435","4,900",29,64,2,152
"Fredericksburg city, Virginia",,"24,286","16,838","5,677",186,707,24,854
"Galax city, Virginia",,"7,042","6,400",454,21,38,19,110
"Hampton city, Virginia",,"137,436","59,900","68,938",672,"3,060",183,"4,683"
"Harrisonburg city, Virginia",,"48,914","42,127","3,427",306,"1,806",94,"1,154"
"Hopewell city, Virginia",,"22,591","13,054","8,574",101,195,37,630
"Lexington city, Virginia",,"7,042","6,063",686,8,155,5,125
"Lynchburg city, Virginia",,"75,568","49,548","22,319",272,"1,904",50,"1,475"
"Manassas city, Virginia",,"37,821","28,701","5,482",432,"1,946",66,"1,194"
"Manassas Park city, Virginia",,"14,273","10,251","2,005",165,"1,325",40,487
"Martinsville city, Virginia",,"13,821","7,171","6,252",38,131,3,226
"Newport News city, Virginia",,"180,719","92,336","74,981","1,010","5,116",389,"6,887"
"Norfolk city, Virginia",,"242,803","118,400","106,340","1,479","8,255",467,"7,862"
"Norton city, Virginia",,"3,958","3,546",258,8,56,1,89
"Petersburg city, Virginia",,"32,420","5,625","25,845",102,272,32,544
"Poquoson city, Virginia",,"12,150","11,611",82,42,264,4,147
"Portsmouth city, Virginia",,"95,535","40,345","51,218",451,"1,054",139,"2,328"
"Radford city, Virginia",,"16,408","14,434","1,292",34,270,5,373
"Richmond city, Virginia",,"204,214","88,821","104,710","1,294","4,915",440,"4,034"
"Roanoke city, Virginia",,"97,032","64,370","27,997",377,"1,764",70,"2,454"
"Salem city, Virginia",,"24,802","22,171","1,801",77,411,7,335
"Staunton city, Virginia",,"23,746","20,069","2,917",50,188,7,515
"Suffolk city, Virginia",,"84,585","44,713","36,399",288,"1,376",60,"1,749"
"Virginia Beach city, Virginia",,"437,994","304,156","88,140","1,925","27,401",732,"15,640"
"Waynesboro city, Virginia",,"21,006","17,865","2,294",79,155,5,608
"Williamsburg city, Virginia",,"14,068","10,762","2,011",45,826,7,417
"Winchester city, Virginia",,"26,203","21,629","2,982",210,685,14,683
"Adams County, Washington",,"18,728","17,371",207,746,189,7,208
"Asotin County, Washington",,"21,623","20,591",95,310,125,39,463
"Benton County, Washington",,"175,177","160,981","2,518","1,999","4,920",320,"4,439"
"Chelan County, Washington",,"72,453","68,726",341,"1,184",667,147,"1,388"
"Clallam County, Washington",,"71,404","63,239",652,"3,862","1,023",106,"2,522"
"Clark County, Washington",,"425,363","375,975","8,911","4,284","17,915","2,831","15,447"
"Columbia County, Washington",,"4,078","3,886",13,63,23,14,79
"Cowlitz County, Washington",,"102,410","94,755",724,"1,865","1,557",274,"3,235"
"Douglas County, Washington",,"38,431","36,386",192,658,344,80,771
"Ferry County, Washington",,"7,551","5,843",26,"1,272",60,8,342
"Franklin County, Washington",,"78,163","71,871","1,797",981,"1,594",294,"1,626"
"Garfield County, Washington",,"2,266","2,178",0,6,39,0,43
"Grant County, Washington",,"89,120","83,042","1,519","1,659",911,100,"1,889"
"Grays Harbor County, Washington",,"72,797","64,525",846,"3,681","1,078",199,"2,468"
"Island County, Washington",,"78,506","68,795","1,790",705,"3,523",409,"3,284"
"Jefferson County, Washington",,"29,872","27,402",253,733,470,65,949
"King County, Washington",,"1,931,249","1,396,927","124,232","20,237","286,648","15,317","87,888"
"Kitsap County, Washington",,"251,133","211,302","6,896","4,369","12,651","2,433","13,482"
"Kittitas County, Washington",,"40,915","38,054",394,440,840,59,"1,128"
"Klickitat County, Washington",,"20,318","18,994",77,539,133,27,548
"Lewis County, Washington",,"75,455","70,730",434,"1,293",688,145,"2,165"
"Lincoln County, Washington",,"10,570","10,102",29,181,42,5,211
"Mason County, Washington",,"60,699","54,186",697,"2,588",760,246,"2,222"
"Okanogan County, Washington",,"41,120","34,359",195,"5,025",297,78,"1,166"
"Pacific County, Washington",,"20,920","19,111",133,550,438,20,668
"Pend Oreille County, Washington",,"13,001","12,001",60,501,73,16,350
"Pierce County, Washington",,"795,225","615,571","56,238","12,876","48,865","11,085","50,590"
"San Juan County, Washington",,"15,769","15,016",63,129,193,15,353
"Skagit County, Washington",,"116,901","107,180",961,"3,157","2,216",281,"3,106"
"Skamania County, Washington",,"11,066","10,415",46,189,96,11,309
"Snohomish County, Washington",,"713,335","585,558","19,130","11,121","64,568","3,420","29,538"
"Spokane County, Washington",,"471,221","426,388","8,332","7,817","10,248","2,001","16,435"
"Stevens County, Washington",,"43,531","39,238",151,"2,458",252,77,"1,355"
"Thurston County, Washington",,"252,264","213,593","7,041","3,907","13,386","2,069","12,268"
"Wahkiakum County, Washington",,"3,978","3,768",12,57,23,6,112
"Walla Walla County, Washington",,"58,781","54,532","1,162",755,805,182,"1,345"
"Whatcom County, Washington",,"201,140","178,060","2,162","6,254","7,311",560,"6,793"
"Whitman County, Washington",,"44,776","38,537",771,333,"3,497",114,"1,524"
"Yakima County, Washington",,"243,231","216,074","3,233","13,865","3,217",445,"6,397"
"Barbour County, West Virginia",,"16,589","16,090",127,96,38,3,235
"Berkeley County, West Virginia",,"104,169","92,828","7,589",314,899,50,"2,489"
"Boone County, West Virginia",,"24,629","24,318",123,35,21,1,131
"Braxton County, West Virginia",,"14,523","14,271",60,42,25,3,122
"Brooke County, West Virginia",,"24,069","23,395",284,21,95,3,271
"Cabell County, West Virginia",,"96,319","88,449","4,838",223,956,29,"1,824"
"Calhoun County, West Virginia",,"7,627","7,520",16,21,12,3,55
"Clay County, West Virginia",,"9,386","9,278",6,19,7,2,74
"Doddridge County, West Virginia",,"8,202","7,965",111,24,14,1,87
"Fayette County, West Virginia",,"46,039","43,132","2,143",92,93,5,574
"Gilmer County, West Virginia",,"8,693","7,342","1,109",72,39,11,120
"Grant County, West Virginia",,"11,937","11,726",92,18,19,3,79
"Greenbrier County, West Virginia",,"35,480","33,696",991,131,145,10,507
"Hampshire County, West Virginia",,"23,964","23,361",251,50,51,15,236
"Hancock County, West Virginia",,"30,676","29,439",716,39,88,8,386
"Hardy County, West Virginia",,"14,025","13,345",392,24,142,4,118
"Harrison County, West Virginia",,"69,099","66,499","1,128",143,332,16,981
"Jackson County, West Virginia",,"29,211","28,729",85,53,84,11,249
"Jefferson County, West Virginia",,"53,498","47,842","3,579",143,653,38,"1,243"
"Kanawha County, West Virginia",,"193,063","172,528","14,249",417,"2,030",44,"3,795"
"Lewis County, West Virginia",,"16,372","16,056",77,36,55,1,147
"Lincoln County, West Virginia",,"21,720","21,525",18,21,24,0,132
"Logan County, West Virginia",,"36,743","35,537",791,35,101,2,277
"McDowell County, West Virginia",,"22,113","19,728","2,107",35,16,0,227
"Marion County, West Virginia",,"56,418","53,355","1,877",114,286,6,780
"Marshall County, West Virginia",,"33,107","32,501",177,52,119,2,256
"Mason County, West Virginia",,"27,324","26,746",171,43,90,12,262
"Mercer County, West Virginia",,"62,264","57,125","3,811",146,329,3,850
"Mineral County, West Virginia",,"28,212","26,927",792,41,112,1,339
"Mingo County, West Virginia",,"26,839","26,062",478,18,44,3,234
"Monongalia County, West Virginia",,"96,189","87,863","3,538",163,"2,980",58,"1,587"
"Monroe County, West Virginia",,"13,502","13,188",92,27,15,3,177
"Morgan County, West Virginia",,"17,541","17,100",98,58,50,4,231
"Nicholas County, West Virginia",,"26,233","25,829",43,54,69,7,231
"Ohio County, West Virginia",,"44,443","41,523","1,641",65,373,8,833
"Pendleton County, West Virginia",,"7,695","7,417",150,18,20,1,89
"Pleasants County, West Virginia",,"7,605","7,414",100,14,8,0,69
"Pocahontas County, West Virginia",,"8,719","8,544",63,20,4,1,87
"Preston County, West Virginia",,"33,520","32,783",363,68,49,11,246
"Putnam County, West Virginia",,"55,486","53,858",499,123,416,24,566
"Raleigh County, West Virginia",,"78,859","70,104","6,517",204,743,23,"1,268"
"Randolph County, West Virginia",,"29,405","28,660",352,66,105,1,221
"Ritchie County, West Virginia",,"10,449","10,331",20,15,10,2,71
"Roane County, West Virginia",,"14,926","14,716",19,26,43,3,119
"Summers County, West Virginia",,"13,927","13,000",674,41,31,3,178
"Taylor County, West Virginia",,"16,895","16,517",126,39,60,0,153
"Tucker County, West Virginia",,"7,141","7,062",12,16,8,1,42
"Tyler County, West Virginia",,"9,208","9,115",14,19,13,0,47
"Upshur County, West Virginia",,"24,254","23,729",161,54,87,1,222
"Wayne County, West Virginia",,"42,481","41,911",76,110,74,8,302
"Webster County, West Virginia",,"9,154","9,034",14,6,9,1,90
"Wetzel County, West Virginia",,"16,583","16,401",24,14,40,1,103
"Wirt County, West Virginia",,"5,717","5,631",9,12,11,1,53
"Wood County, West Virginia",,"86,956","84,081",975,190,475,31,"1,204"
"Wyoming County, West Virginia",,"23,796","23,387",117,35,25,2,230
"Adams County, Wisconsin",,"20,875","19,696",654,222,85,6,212
"Ashland County, Wisconsin",,"16,157","13,718",49,"1,817",61,4,508
"Barron County, Wisconsin",,"45,870","44,348",420,422,228,5,447
"Bayfield County, Wisconsin",,"15,014","13,065",52,"1,440",49,1,407
"Brown County, Wisconsin",,"248,007","223,051","5,698","7,457","6,862",168,"4,771"
"Buffalo County, Wisconsin",,"13,587","13,363",44,40,28,0,112
"Burnett County, Wisconsin",,"15,457","14,222",83,730,52,3,367
"Calumet County, Wisconsin",,"48,971","46,936",254,206,"1,034",20,521
"Chippewa County, Wisconsin",,"62,415","59,706",994,324,780,18,593
"Clark County, Wisconsin",,"34,690","34,080",97,204,130,14,165
"Columbia County, Wisconsin",,"56,833","54,924",726,298,303,32,550
"Crawford County, Wisconsin",,"16,644","16,122",296,39,64,5,118
"Dane County, Wisconsin",,"488,073","425,298","26,029","2,233","23,376",224,"10,913"
"Dodge County, Wisconsin",,"88,759","84,725","2,406",399,490,48,691
"Door County, Wisconsin",,"27,785","27,082",146,183,115,4,255
"Douglas County, Wisconsin",,"44,159","41,269",487,880,380,8,"1,135"
"Dunn County, Wisconsin",,"43,857","41,780",223,180,"1,158",16,500
"Eau Claire County, Wisconsin",,"98,736","92,479",902,498,"3,334",37,"1,486"
"Florence County, Wisconsin",,"4,423","4,312",10,32,13,1,55
"Fond du Lac County, Wisconsin",,"101,633","97,427","1,362",529,"1,161",27,"1,127"
"Forest County, Wisconsin",,"9,304","7,712",78,"1,267",14,11,222
"Grant County, Wisconsin",,"51,208","49,881",589,111,321,7,299
"Green County, Wisconsin",,"36,842","36,107",145,82,201,12,295
"Green Lake County, Wisconsin",,"19,051","18,695",90,63,90,5,108
"Iowa County, Wisconsin",,"23,687","23,242",89,36,131,5,184
