,,Total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Two or More Races
"Arapahoe County, Colorado",,"572,003","453,937","60,748","6,392","29,930","1,355","19,641"
"Archuleta County, Colorado",,"12,084","11,358",37,339,108,7,235
"Baca County, Colorado",,"3,788","3,639",24,56,6,0,63
"Bent County, Colorado",,"6,499","5,652",503,186,66,5,87
"Boulder County, Colorado",,"294,567","270,093","2,814","2,392","12,367",213,"6,688"
"Broomfield County, Colorado",,"55,889","50,002",631,426,"3,479",45,"1,306"
"Chaffee County, Colorado",,"17,809","16,978",278,221,114,14,204
"Cheyenne County, Colorado",,"1,836","1,789",7,15,11,1,13
"Clear Creek County, Colorado",,"9,088","8,761",57,85,51,3,131
"Conejos County, Colorado",,"8,256","7,747",44,269,38,12,146
"Costilla County, Colorado",,"3,524","3,168",48,190,40,10,68
"Crowley County, Colorado",,"5,823","4,946",560,178,62,0,77
"Custer County, Colorado",,"4,255","4,097",44,31,16,0,67
"Delta County, Colorado",,"30,952","29,649",175,393,178,21,536
"Denver County, Colorado",,"600,158","483,271","64,518","12,515","21,403",899,"17,552"
"Dolores County, Colorado",,"2,064","1,951",4,60,2,2,45
"Douglas County, Colorado",,"285,465","262,954","3,671","1,387","10,908",240,"6,305"
"Eagle County, Colorado",,"52,197","49,982",447,584,575,37,572
"Elbert County, Colorado",,"23,086","22,154",168,163,180,28,393
"El Paso County, Colorado",,"622,263","525,642","41,132","7,950","17,871","2,526","27,142"
"Fremont County, Colorado",,"46,824","43,103","1,845",861,287,25,703
"Garfield County, Colorado",,"56,389","53,331",584,"1,003",422,79,970
"Gilpin County, Colorado",,"5,441","5,192",28,46,80,10,85
"Grand County, Colorado",,"14,843","14,326",65,86,129,8,229
"Gunnison County, Colorado",,"15,324","14,574",52,344,103,4,247
"Hinsdale County, Colorado",,843,813,3,9,4,0,14
"Huerfano County, Colorado",,"6,711","6,151",39,325,33,15,148
"Jackson County, Colorado",,"1,394","1,353",0,22,1,0,18
"Jefferson County, Colorado",,"534,543","495,530","6,265","6,217","14,507",586,"11,438"
"Kiowa County, Colorado",,"1,398","1,368",4,7,0,0,19
"Kit Carson County, Colorado",,"8,270","7,832",225,68,36,13,96
"Lake County, Colorado",,"7,310","6,941",34,160,33,4,138
"La Plata County, Colorado",,"51,334","46,233",228,"3,281",315,36,"1,241"
"Larimer County, Colorado",,"299,630","281,265","2,718","2,981","6,060",277,"6,329"
"Las Animas County, Colorado",,"15,507","14,306",235,522,120,14,310
"Lincoln County, Colorado",,"5,467","5,003",292,56,43,2,71
"Logan County, Colorado",,"22,709","21,061",925,295,150,24,254
"Mesa County, Colorado",,"146,723","139,065","1,100","2,190","1,219",182,"2,967"
"Mineral County, Colorado",,712,699,2,4,1,0,6
"Moffat County, Colorado",,"13,795","13,293",43,156,80,11,212
"Montezuma County, Colorado",,"25,535","21,583",65,"3,229",131,20,507
"Montrose County, Colorado",,"41,276","39,261",209,728,299,40,739
"Morgan County, Colorado",,"28,159","26,305",880,368,167,75,364
"Otero County, Colorado",,"18,831","17,431",167,595,164,25,449
"Ouray County, Colorado",,"4,436","4,326",7,18,26,5,54
"Park County, Colorado",,"16,206","15,527",70,172,106,3,328
"Phillips County, Colorado",,"4,442","4,327",19,30,26,7,33
"Pitkin County, Colorado",,"17,148","16,562",102,55,214,12,203
"Prowers County, Colorado",,"12,551","12,110",69,190,38,2,142
"Pueblo County, Colorado",,"159,063","145,252","3,740","4,619","1,499",225,"3,728"
"Rio Blanco County, Colorado",,"6,666","6,382",50,62,22,11,139
"Rio Grande County, Colorado",,"11,982","11,337",51,331,49,4,210
"Routt County, Colorado",,"23,509","22,796",99,135,157,17,305
"Saguache County, Colorado",,"6,108","5,729",30,184,47,1,117
"San Juan County, Colorado",,699,674,0,2,8,0,15
"San Miguel County, Colorado",,"7,359","7,058",38,89,53,5,116
"Sedgwick County, Colorado",,"2,379","2,309",8,14,23,0,25
"Summit County, Colorado",,"27,994","26,925",258,135,285,22,369
"Teller County, Colorado",,"23,350","22,310",112,236,170,22,500
"Washington County, Colorado",,"4,814","4,702",30,8,15,4,55
"Weld County, Colorado",,"252,825","237,207","2,951","4,226","3,230",305,"4,906"
"Yuma County, Colorado",,"10,043","9,834",20,68,41,18,62
"Fairfield County, Connecticut",,"916,829","745,332","106,784","4,182","43,878","1,010","15,643"
"Hartford County, Connecticut",,"894,014","701,004","130,343","4,012","39,479",967,"18,209"
"Litchfield County, Connecticut",,"189,927","180,797","2,912",489,"2,976",92,"2,661"
"Middlesex County, Connecticut",,"165,676","149,965","8,125",295,"4,354",84,"2,853"
"New Haven County, Connecticut",,"862,477","691,242","117,948","3,826","31,295",791,"17,375"
"New London County, Connecticut",,"274,055","232,756","17,471","2,894","11,787",340,"8,807"
"Tolland County, Connecticut",,"152,691","139,175","5,270",308,"5,292",118,"2,528"
"Windham County, Connecticut",,"118,428","110,549","3,278",728,"1,455",89,"2,329"
"Kent County, Delaware",,"162,310","112,801","39,760","1,135","3,406",136,"5,072"
"New Castle County, Delaware",,"538,479","370,214","130,846","2,192","23,863",277,"11,087"
"Sussex County, Delaware",,"197,145","162,755","25,675","2,602","2,073",277,"3,763"
"District of Columbia, District of Columbia",,"601,723","251,265","310,379","3,264","21,705",770,"14,340"
"Alachua County, Florida",,"247,336","176,369","50,798",840,"13,545",155,"5,629"
"Baker County, Florida",,"27,115","22,821","3,697",77,138,5,377
"Bay County, Florida",,"168,852","140,898","18,408","1,212","3,441",180,"4,713"
"Bradford County, Florida",,"28,520","21,996","5,858",101,156,15,394
"Brevard County, Florida",,"543,376","459,974","56,232","2,396","11,741",655,"12,378"
"Broward County, Florida",,"1,748,066","1,169,470","478,871","6,114","59,550","1,632","32,429"
"Calhoun County, Florida",,"14,625","12,027","2,017",168,83,18,312
"Charlotte County, Florida",,"159,978","145,937","9,355",454,"1,977",76,"2,179"
"Citrus County, Florida",,"141,236","132,653","4,078",499,"2,065",45,"1,896"
"Clay County, Florida",,"190,865","159,597","19,397",957,"5,776",248,"4,890"
"Collier County, Florida",,"321,520","290,791","21,759","1,592","3,771",316,"3,291"
"Columbia County, Florida",,"67,531","53,446","11,930",361,641,47,"1,106"
"DeSoto County, Florida",,"34,862","29,281","4,596",367,217,60,341
"Dixie County, Florida",,"16,422","14,693","1,392",69,55,2,211
